EID_100001, Marchand, Dylan, (024) 777 739 815, dylan.marchand@heig-vd.ch, MALE, TIN, Assistant
EID_100839, Belmondo, Charles, (024) 777 478 256, charles.belmondo@heig-vd.ch, MALE, TIC, Etudiant
EID_100840, Durant, Evelyne, (024) 777 598 339, evelyne.durant@heig-vd.ch, FEMALE, TIC, Assistant
EID_100841, Durant, Fabien, (024) 777 220 323, fabien.durant@heig-vd.ch, MALE, COMEM, Assistant
EID_100842, Delon, Jimmy, (024) 777 373 884, jimmy.delon@heig-vd.ch, MALE, TIN, Assistant
EID_100843, Jones, Bernard, (024) 777 217 394, bernard.jones@heig-vd.ch, MALE, HEG, Professeur
EID_100844, Dupont, Lucien, (024) 777 371 443, lucien.dupont@heig-vd.ch, MALE, HEG, Professeur
EID_100845, De Villiers, Gilles, (024) 777 847 813, gilles.de villiers@heig-vd.ch, MALE, TIN, Administratif
EID_100846, Clément, Henri, (024) 777 202 235, henri.clément@heig-vd.ch, MALE, EC, Etudiant
EID_100847, Belmondo, Bernadette, (024) 777 167 323, bernadette.belmondo@heig-vd.ch, FEMALE, EC, Assistant
EID_100848, De Decker, Henri, (024) 777 226 463, henri.de decker@heig-vd.ch, MALE, HEG, Administratif
EID_100849, De Villiers, Gilles, (024) 777 419 444, gilles.de villiers@heig-vd.ch, MALE, EC, Etudiant
EID_100850, Simpson, Brigitte, (024) 777 705 214, brigitte.simpson@heig-vd.ch, FEMALE, TIC, Professeur
EID_100851, Clément, Emil, (024) 777 796 600, emil.clément@heig-vd.ch, MALE, EC, Administratif
EID_100852, Dupont, Gilles, (024) 777 520 408, gilles.dupont@heig-vd.ch, MALE, COMEM, Professeur
EID_100853, Marchand, Emil, (024) 777 109 530, emil.marchand@heig-vd.ch, MALE, COMEM, Professeur
EID_100854, Smith, Emilie, (024) 777 578 305, emilie.smith@heig-vd.ch, FEMALE, HEG, Administratif
EID_100855, Delon, Cédric, (024) 777 847 860, cédric.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_100856, Clément, Bryan, (024) 777 342 780, bryan.clément@heig-vd.ch, MALE, HEG, Etudiant
EID_100857, De Decker, Julien, (024) 777 828 724, julien.de decker@heig-vd.ch, MALE, COMEM, Assistant
EID_100858, Marchand, Gilles, (024) 777 443 668, gilles.marchand@heig-vd.ch, MALE, EC, Etudiant
EID_100859, De Villiers, Gilles, (024) 777 189 824, gilles.de villiers@heig-vd.ch, MALE, TIN, Etudiant
EID_100860, De Villiers, Anne, (024) 777 448 213, anne.de villiers@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100861, De Decker, Faustine, (024) 777 545 338, faustine.de decker@heig-vd.ch, FEMALE, EC, Administratif
EID_100862, Marchand, Evelyne, (024) 777 479 499, evelyne.marchand@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100863, De Decker, Julien, (024) 777 263 640, julien.de decker@heig-vd.ch, MALE, EC, Administratif
EID_100864, Smith, Fabrice, (024) 777 303 516, fabrice.smith@heig-vd.ch, MALE, EC, Professeur
EID_100865, Simpson, Georgette, (024) 777 113 234, georgette.simpson@heig-vd.ch, FEMALE, EC, Professeur
EID_100866, Dupond, Danièle, (024) 777 628 455, danièle.dupond@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100867, Dupont, Luc, (024) 777 340 782, luc.dupont@heig-vd.ch, MALE, DEPG, Etudiant
EID_100868, Delon, Gontran, (024) 777 273 662, gontran.delon@heig-vd.ch, MALE, COMEM, Administratif
EID_100869, Dupont, Aurore, (024) 777 614 664, aurore.dupont@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100870, Smith, Albert, (024) 777 139 574, albert.smith@heig-vd.ch, MALE, TIC, Professeur
EID_100871, Simpson, Bernard, (024) 777 266 224, bernard.simpson@heig-vd.ch, MALE, TIN, Etudiant
EID_100872, Simpson, Gontran, (024) 777 138 274, gontran.simpson@heig-vd.ch, MALE, COMEM, Professeur
EID_100873, Smith, Henriette, (024) 777 723 614, henriette.smith@heig-vd.ch, FEMALE, TIN, Assistant
EID_100874, Marchand, Edgar, (024) 777 432 218, edgar.marchand@heig-vd.ch, MALE, EC, Administratif
EID_100875, Dupont, Bernadette, (024) 777 638 871, bernadette.dupont@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100876, Smith, Aurore, (024) 777 410 585, aurore.smith@heig-vd.ch, FEMALE, TIN, Assistant
EID_100877, Dupont, Marc, (024) 777 202 781, marc.dupont@heig-vd.ch, MALE, TIC, Professeur
EID_100878, Simpson, Albert, (024) 777 471 266, albert.simpson@heig-vd.ch, MALE, HEG, Etudiant
EID_100879, Smith, Irène, (024) 777 160 722, irène.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100880, Jones, Frédéric, (024) 777 245 562, frédéric.jones@heig-vd.ch, MALE, EC, Administratif
EID_100881, Durant, Evelyne, (024) 777 646 841, evelyne.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100882, Belmondo, Luc, (024) 777 203 821, luc.belmondo@heig-vd.ch, MALE, COMEM, Administratif
EID_100883, Marchand, Guillaume, (024) 777 109 206, guillaume.marchand@heig-vd.ch, MALE, TIC, Professeur
EID_100884, Bauer, Henri, (024) 777 171 101, henri.bauer@heig-vd.ch, MALE, EC, Assistant
EID_100885, Belmondo, Albert, (024) 777 607 589, albert.belmondo@heig-vd.ch, MALE, COMEM, Assistant
EID_100886, De Villiers, Bernadette, (024) 777 780 149, bernadette.de villiers@heig-vd.ch, FEMALE, EC, Administratif
EID_100887, Delon, Dylan, (024) 777 655 584, dylan.delon@heig-vd.ch, MALE, TIC, Administratif
EID_100888, Bauer, Gilles, (024) 777 328 240, gilles.bauer@heig-vd.ch, MALE, HEG, Professeur
EID_100889, Belmondo, Edgar, (024) 777 334 613, edgar.belmondo@heig-vd.ch, MALE, HEG, Etudiant
EID_100890, Delon, Christine, (024) 777 599 352, christine.delon@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100891, De Villiers, Irène, (024) 777 260 865, irène.de villiers@heig-vd.ch, FEMALE, HEG, Administratif
EID_100892, Simpson, Gilles, (024) 777 100 120, gilles.simpson@heig-vd.ch, MALE, EC, Administratif
EID_100893, Delon, Irène, (024) 777 152 221, irène.delon@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100894, De Decker, Irène, (024) 777 893 482, irène.de decker@heig-vd.ch, FEMALE, EC, Professeur
EID_100895, Marchand, Fabienne, (024) 777 559 422, fabienne.marchand@heig-vd.ch, FEMALE, EC, Professeur
EID_100896, Smith, Brigitte, (024) 777 219 793, brigitte.smith@heig-vd.ch, FEMALE, TIN, Professeur
EID_100897, De Decker, Brigitte, (024) 777 568 405, brigitte.de decker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100898, Simpson, Brigitte, (024) 777 102 333, brigitte.simpson@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100899, De Decker, Emil, (024) 777 390 447, emil.de decker@heig-vd.ch, MALE, TIN, Assistant
EID_100900, Durant, Lucien, (024) 777 394 127, lucien.durant@heig-vd.ch, MALE, TIN, Assistant
EID_100901, Clément, Emma, (024) 777 498 801, emma.clément@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100902, Clément, Emilie, (024) 777 477 116, emilie.clément@heig-vd.ch, FEMALE, EC, Etudiant
EID_100903, Durant, Guillaume, (024) 777 511 468, guillaume.durant@heig-vd.ch, MALE, DEPG, Administratif
EID_100904, Marchand, Faustine, (024) 777 632 174, faustine.marchand@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100905, Simpson, Danièle, (024) 777 849 827, danièle.simpson@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100906, Durant, Frédéric, (024) 777 608 891, frédéric.durant@heig-vd.ch, MALE, EC, Etudiant
EID_100907, Durant, Henriette, (024) 777 594 825, henriette.durant@heig-vd.ch, FEMALE, EC, Professeur
EID_100908, Smith, Emma, (024) 777 758 458, emma.smith@heig-vd.ch, FEMALE, TIC, Assistant
EID_100909, Marchand, Bernadette, (024) 777 544 320, bernadette.marchand@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100910, Belmondo, Julien, (024) 777 574 133, julien.belmondo@heig-vd.ch, MALE, TIC, Professeur
EID_100911, De Villiers, Emma, (024) 777 306 262, emma.de villiers@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100912, Dupond, Gontran, (024) 777 506 119, gontran.dupond@heig-vd.ch, MALE, TIC, Professeur
EID_100913, Jones, Dorothé, (024) 777 864 147, dorothé.jones@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100914, Simpson, Evelyne, (024) 777 584 877, evelyne.simpson@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100915, De Decker, Christine, (024) 777 674 413, christine.de decker@heig-vd.ch, FEMALE, HEG, Professeur
EID_100916, De Villiers, Emma, (024) 777 836 285, emma.de villiers@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100917, Simpson, Henriette, (024) 777 569 368, henriette.simpson@heig-vd.ch, FEMALE, TIC, Assistant
EID_100918, Clément, Dorothé, (024) 777 515 280, dorothé.clément@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100919, Delon, Cédric, (024) 777 508 760, cédric.delon@heig-vd.ch, MALE, TIC, Professeur
EID_100920, Belmondo, Aurore, (024) 777 560 662, aurore.belmondo@heig-vd.ch, FEMALE, TIN, Assistant
EID_100921, Durant, Dylan, (024) 777 627 222, dylan.durant@heig-vd.ch, MALE, HEG, Assistant
EID_100922, Dupond, Bernadette, (024) 777 308 695, bernadette.dupond@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100923, Smith, Emilie, (024) 777 191 621, emilie.smith@heig-vd.ch, FEMALE, TIC, Administratif
EID_100924, Dupont, Guillaume, (024) 777 567 342, guillaume.dupont@heig-vd.ch, MALE, EC, Administratif
EID_100925, Clément, Fabienne, (024) 777 297 469, fabienne.clément@heig-vd.ch, FEMALE, EC, Professeur
EID_100926, Bauer, Henri, (024) 777 446 485, henri.bauer@heig-vd.ch, MALE, COMEM, Professeur
EID_100927, Bauer, Fabienne, (024) 777 886 467, fabienne.bauer@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100928, Belmondo, Christine, (024) 777 541 574, christine.belmondo@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100929, Durant, Bryan, (024) 777 635 868, bryan.durant@heig-vd.ch, MALE, TIN, Assistant
EID_100930, Bauer, Emil, (024) 777 665 212, emil.bauer@heig-vd.ch, MALE, COMEM, Administratif
EID_100931, Jones, Fabien, (024) 777 265 610, fabien.jones@heig-vd.ch, MALE, TIN, Assistant
EID_100932, De Villiers, Luc, (024) 777 818 413, luc.de villiers@heig-vd.ch, MALE, COMEM, Etudiant
EID_100933, De Decker, Brigitte, (024) 777 353 162, brigitte.de decker@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100934, De Villiers, Charles, (024) 777 630 713, charles.de villiers@heig-vd.ch, MALE, TIC, Assistant
EID_100935, Durant, Fabien, (024) 777 390 586, fabien.durant@heig-vd.ch, MALE, HEG, Assistant
EID_100936, Clément, Julie, (024) 777 175 256, julie.clément@heig-vd.ch, FEMALE, EC, Etudiant
EID_100937, Belmondo, Fabienne, (024) 777 443 550, fabienne.belmondo@heig-vd.ch, FEMALE, TIC, Administratif
EID_100938, Bauer, Evelyne, (024) 777 414 333, evelyne.bauer@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100939, Clément, Albert, (024) 777 758 241, albert.clément@heig-vd.ch, MALE, TIN, Assistant
EID_100940, De Villiers, Gontran, (024) 777 835 198, gontran.de villiers@heig-vd.ch, MALE, TIC, Etudiant
EID_100941, Delon, Emilie, (024) 777 788 391, emilie.delon@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100942, De Villiers, Guillaume, (024) 777 143 641, guillaume.de villiers@heig-vd.ch, MALE, COMEM, Administratif
EID_100943, Delon, Emilie, (024) 777 397 789, emilie.delon@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100944, De Decker, Didier, (024) 777 501 581, didier.de decker@heig-vd.ch, MALE, HEG, Assistant
EID_100945, De Decker, Cédric, (024) 777 603 599, cédric.de decker@heig-vd.ch, MALE, COMEM, Administratif
EID_100946, Bauer, Emma, (024) 777 210 198, emma.bauer@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100947, Smith, Frédéric, (024) 777 257 110, frédéric.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100948, Smith, Dorothé, (024) 777 455 378, dorothé.smith@heig-vd.ch, FEMALE, EC, Etudiant
EID_100949, Delon, Frédéric, (024) 777 132 729, frédéric.delon@heig-vd.ch, MALE, EC, Professeur
EID_100950, Jones, Dorothé, (024) 777 156 826, dorothé.jones@heig-vd.ch, FEMALE, HEG, Assistant
EID_100951, Clément, Henriette, (024) 777 331 192, henriette.clément@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100952, Bauer, Amélie, (024) 777 811 244, amélie.bauer@heig-vd.ch, FEMALE, TIC, Assistant
EID_100953, Simpson, Aurore, (024) 777 358 831, aurore.simpson@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100954, De Decker, Dylan, (024) 777 291 578, dylan.de decker@heig-vd.ch, MALE, TIC, Administratif
EID_100955, Marchand, Georgette, (024) 777 874 566, georgette.marchand@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100956, Marchand, Guillaume, (024) 777 842 112, guillaume.marchand@heig-vd.ch, MALE, COMEM, Assistant
EID_100957, Dupond, Edgar, (024) 777 267 398, edgar.dupond@heig-vd.ch, MALE, COMEM, Etudiant
EID_100958, Bauer, Amélie, (024) 777 392 829, amélie.bauer@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100959, Durant, Didier, (024) 777 606 747, didier.durant@heig-vd.ch, MALE, HEG, Etudiant
EID_100960, Jones, Bryan, (024) 777 254 708, bryan.jones@heig-vd.ch, MALE, COMEM, Assistant
EID_100961, Smith, Christine, (024) 777 449 207, christine.smith@heig-vd.ch, FEMALE, TIN, Administratif
EID_100962, Jones, Luc, (024) 777 512 252, luc.jones@heig-vd.ch, MALE, EC, Professeur
EID_100963, Delon, Fabien, (024) 777 897 223, fabien.delon@heig-vd.ch, MALE, TIC, Etudiant
EID_100964, Clément, Irène, (024) 777 875 178, irène.clément@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100965, De Decker, Fabrice, (024) 777 167 827, fabrice.de decker@heig-vd.ch, MALE, DEPG, Professeur
EID_100966, Jones, Irène, (024) 777 771 376, irène.jones@heig-vd.ch, FEMALE, HEG, Assistant
EID_100967, Delon, Albert, (024) 777 780 833, albert.delon@heig-vd.ch, MALE, TIN, Assistant
EID_100968, Marchand, Dorothé, (024) 777 550 889, dorothé.marchand@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100969, De Decker, Aurore, (024) 777 618 378, aurore.de decker@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100970, Delon, Carine, (024) 777 440 322, carine.delon@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100971, Durant, Julien, (024) 777 895 237, julien.durant@heig-vd.ch, MALE, TIN, Etudiant
EID_100972, Dupond, Carine, (024) 777 143 378, carine.dupond@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100973, Marchand, Gilles, (024) 777 202 495, gilles.marchand@heig-vd.ch, MALE, HEG, Assistant
EID_100974, Dupont, Bernard, (024) 777 419 223, bernard.dupont@heig-vd.ch, MALE, DEPG, Assistant
EID_100975, De Decker, Albert, (024) 777 279 658, albert.de decker@heig-vd.ch, MALE, HEG, Professeur
EID_100976, Belmondo, Amélie, (024) 777 855 696, amélie.belmondo@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100977, Delon, Danièle, (024) 777 772 559, danièle.delon@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100978, Marchand, Henriette, (024) 777 587 442, henriette.marchand@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100979, Jones, Frédéric, (024) 777 323 873, frédéric.jones@heig-vd.ch, MALE, DEPG, Professeur
EID_100980, Smith, Aurore, (024) 777 498 837, aurore.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100981, Simpson, Charles, (024) 777 456 206, charles.simpson@heig-vd.ch, MALE, COMEM, Professeur
EID_100982, De Villiers, Jimmy, (024) 777 856 395, jimmy.de villiers@heig-vd.ch, MALE, TIN, Etudiant
EID_100983, Dupond, Georgette, (024) 777 378 457, georgette.dupond@heig-vd.ch, FEMALE, TIN, Professeur
EID_100984, Clément, Henri, (024) 777 837 745, henri.clément@heig-vd.ch, MALE, TIN, Assistant
EID_100985, De Villiers, Julie, (024) 777 580 391, julie.de villiers@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100986, Dupont, Aurore, (024) 777 494 737, aurore.dupont@heig-vd.ch, FEMALE, HEG, Administratif
EID_100987, Bauer, Evelyne, (024) 777 227 236, evelyne.bauer@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100988, Dupond, Fabienne, (024) 777 708 218, fabienne.dupond@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100989, Clément, Danièle, (024) 777 750 345, danièle.clément@heig-vd.ch, FEMALE, HEG, Administratif
EID_100990, Dupont, Fabienne, (024) 777 352 883, fabienne.dupont@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100991, Durant, Danièle, (024) 777 790 682, danièle.durant@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100992, De Villiers, Lucien, (024) 777 195 170, lucien.de villiers@heig-vd.ch, MALE, DEPG, Etudiant
EID_100993, Jones, Faustine, (024) 777 481 427, faustine.jones@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100994, Clément, Emma, (024) 777 759 190, emma.clément@heig-vd.ch, FEMALE, HEG, Assistant
EID_100995, Clément, Aurore, (024) 777 683 476, aurore.clément@heig-vd.ch, FEMALE, HEG, Professeur
EID_100996, Delon, Frédéric, (024) 777 556 863, frédéric.delon@heig-vd.ch, MALE, TIC, Administratif
EID_100997, Durant, Emilie, (024) 777 621 652, emilie.durant@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100998, Clément, Georgette, (024) 777 244 449, georgette.clément@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100999, Dupont, Carole, (024) 777 361 799, carole.dupont@heig-vd.ch, FEMALE, TIC, Etudiant
EID_101000, De Decker, Fabien, (024) 777 669 257, fabien.de decker@heig-vd.ch, MALE, COMEM, Assistant
EID_101001, Simpson, Danièle, (024) 777 868 491, danièle.simpson@heig-vd.ch, FEMALE, DEPG, Professeur
EID_101002, Jones, Guillaume, (024) 777 302 845, guillaume.jones@heig-vd.ch, MALE, TIC, Assistant
EID_101003, Clément, Evelyne, (024) 777 187 563, evelyne.clément@heig-vd.ch, FEMALE, DEPG, Administratif
EID_101004, Smith, Bernard, (024) 777 533 693, bernard.smith@heig-vd.ch, MALE, DEPG, Etudiant
EID_101005, Bauer, Christine, (024) 777 155 482, christine.bauer@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_101006, Dupont, Albert, (024) 777 224 633, albert.dupont@heig-vd.ch, MALE, HEG, Etudiant
EID_101007, Dupont, Aurore, (024) 777 411 660, aurore.dupont@heig-vd.ch, FEMALE, TIN, Professeur
EID_101008, Belmondo, Marc, (024) 777 809 219, marc.belmondo@heig-vd.ch, MALE, TIN, Administratif
EID_101009, Clément, Marc, (024) 777 420 359, marc.clément@heig-vd.ch, MALE, EC, Professeur
EID_101010, Dupont, Cédric, (024) 777 363 226, cédric.dupont@heig-vd.ch, MALE, TIN, Etudiant
EID_101011, Dupond, Albert, (024) 777 424 520, albert.dupond@heig-vd.ch, MALE, HEG, Etudiant
EID_101012, Jones, Dylan, (024) 777 278 692, dylan.jones@heig-vd.ch, MALE, EC, Administratif
EID_101013, Dupond, Fabienne, (024) 777 319 872, fabienne.dupond@heig-vd.ch, FEMALE, HEG, Etudiant
EID_101014, Marchand, Carole, (024) 777 580 624, carole.marchand@heig-vd.ch, FEMALE, TIC, Assistant
EID_101015, Clément, Anne, (024) 777 632 676, anne.clément@heig-vd.ch, FEMALE, TIN, Professeur
EID_101016, Delon, Fabien, (024) 777 316 434, fabien.delon@heig-vd.ch, MALE, TIC, Administratif
EID_101017, Simpson, Faustine, (024) 777 359 211, faustine.simpson@heig-vd.ch, FEMALE, TIN, Etudiant
EID_101018, De Villiers, Luc, (024) 777 537 129, luc.de villiers@heig-vd.ch, MALE, DEPG, Etudiant
EID_101019, De Villiers, Emil, (024) 777 829 621, emil.de villiers@heig-vd.ch, MALE, HEG, Assistant
EID_101020, Dupont, Jimmy, (024) 777 697 180, jimmy.dupont@heig-vd.ch, MALE, TIN, Etudiant
EID_101021, De Villiers, Emma, (024) 777 880 379, emma.de villiers@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_101022, Simpson, Marc, (024) 777 791 860, marc.simpson@heig-vd.ch, MALE, HEG, Etudiant
EID_101023, Marchand, Carine, (024) 777 874 364, carine.marchand@heig-vd.ch, FEMALE, HEG, Professeur
EID_101024, Marchand, Albert, (024) 777 633 667, albert.marchand@heig-vd.ch, MALE, TIC, Etudiant
EID_101025, De Villiers, Dorothé, (024) 777 806 894, dorothé.de villiers@heig-vd.ch, FEMALE, EC, Etudiant
EID_101026, Bauer, Gontran, (024) 777 337 154, gontran.bauer@heig-vd.ch, MALE, HEG, Professeur
EID_101027, De Villiers, Dylan, (024) 777 370 849, dylan.de villiers@heig-vd.ch, MALE, COMEM, Professeur
EID_101028, Smith, Fabienne, (024) 777 524 315, fabienne.smith@heig-vd.ch, FEMALE, COMEM, Administratif
EID_101029, Delon, Fabrice, (024) 777 585 839, fabrice.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_101030, Dupont, Evelyne, (024) 777 885 645, evelyne.dupont@heig-vd.ch, FEMALE, EC, Professeur
EID_101031, Dupond, Julien, (024) 777 722 683, julien.dupond@heig-vd.ch, MALE, COMEM, Etudiant
EID_101032, Dupont, Henriette, (024) 777 611 205, henriette.dupont@heig-vd.ch, FEMALE, EC, Etudiant
EID_101033, Marchand, Gilles, (024) 777 390 246, gilles.marchand@heig-vd.ch, MALE, DEPG, Assistant
EID_101034, Smith, Christine, (024) 777 787 567, christine.smith@heig-vd.ch, FEMALE, COMEM, Administratif
EID_101035, De Villiers, Aurore, (024) 777 166 501, aurore.de villiers@heig-vd.ch, FEMALE, DEPG, Professeur
EID_101036, Jones, Emma, (024) 777 665 436, emma.jones@heig-vd.ch, FEMALE, EC, Etudiant
EID_101037, Delon, Albert, (024) 777 459 169, albert.delon@heig-vd.ch, MALE, DEPG, Administratif
EID_101038, Bauer, Bernadette, (024) 777 137 842, bernadette.bauer@heig-vd.ch, FEMALE, COMEM, Professeur
EID_101039, De Villiers, Albert, (024) 777 219 543, albert.de villiers@heig-vd.ch, MALE, TIC, Administratif
EID_101040, Simpson, Amélie, (024) 777 712 613, amélie.simpson@heig-vd.ch, FEMALE, DEPG, Professeur
EID_101041, Belmondo, Emma, (024) 777 111 335, emma.belmondo@heig-vd.ch, FEMALE, TIC, Etudiant
EID_101042, Simpson, Henriette, (024) 777 729 848, henriette.simpson@heig-vd.ch, FEMALE, COMEM, Professeur
EID_101043, Belmondo, Evelyne, (024) 777 772 453, evelyne.belmondo@heig-vd.ch, FEMALE, COMEM, Professeur
EID_101044, De Villiers, Albert, (024) 777 266 871, albert.de villiers@heig-vd.ch, MALE, HEG, Etudiant
EID_101045, Simpson, Charles, (024) 777 106 793, charles.simpson@heig-vd.ch, MALE, HEG, Administratif
EID_101046, Clément, Didier, (024) 777 719 517, didier.clément@heig-vd.ch, MALE, DEPG, Etudiant
EID_101047, Jones, Emilie, (024) 777 416 494, emilie.jones@heig-vd.ch, FEMALE, TIC, Assistant
EID_101048, Marchand, Julien, (024) 777 584 850, julien.marchand@heig-vd.ch, MALE, HEG, Etudiant
EID_101049, Durant, Dylan, (024) 777 600 644, dylan.durant@heig-vd.ch, MALE, COMEM, Administratif
EID_101050, Dupont, Faustine, (024) 777 363 496, faustine.dupont@heig-vd.ch, FEMALE, HEG, Professeur
EID_101051, Dupont, Emil, (024) 777 149 369, emil.dupont@heig-vd.ch, MALE, COMEM, Administratif
EID_101052, Dupont, Brigitte, (024) 777 659 434, brigitte.dupont@heig-vd.ch, FEMALE, HEG, Assistant
EID_101053, Jones, Lucien, (024) 777 282 815, lucien.jones@heig-vd.ch, MALE, DEPG, Professeur
EID_101054, Clément, Luc, (024) 777 894 609, luc.clément@heig-vd.ch, MALE, TIC, Administratif
EID_101055, Smith, Fabienne, (024) 777 313 379, fabienne.smith@heig-vd.ch, FEMALE, TIN, Etudiant
EID_101056, Bauer, Faustine, (024) 777 665 250, faustine.bauer@heig-vd.ch, FEMALE, EC, Professeur
EID_101057, Delon, Amélie, (024) 777 566 471, amélie.delon@heig-vd.ch, FEMALE, TIN, Professeur
EID_101058, Jones, Luc, (024) 777 695 884, luc.jones@heig-vd.ch, MALE, TIN, Assistant
EID_101059, Dupont, Dylan, (024) 777 134 157, dylan.dupont@heig-vd.ch, MALE, DEPG, Etudiant
EID_101060, De Villiers, Faustine, (024) 777 732 228, faustine.de villiers@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_101061, Dupond, Jimmy, (024) 777 411 888, jimmy.dupond@heig-vd.ch, MALE, EC, Administratif
EID_101062, Dupont, Dylan, (024) 777 149 696, dylan.dupont@heig-vd.ch, MALE, COMEM, Assistant
EID_101063, Belmondo, Didier, (024) 777 470 366, didier.belmondo@heig-vd.ch, MALE, TIC, Assistant
EID_101064, Smith, Irène, (024) 777 254 305, irène.smith@heig-vd.ch, FEMALE, TIN, Professeur
EID_101065, Dupont, Dorothé, (024) 777 398 364, dorothé.dupont@heig-vd.ch, FEMALE, TIN, Etudiant
EID_101066, Dupond, Irène, (024) 777 604 703, irène.dupond@heig-vd.ch, FEMALE, TIC, Administratif
EID_101067, Dupont, Bernard, (024) 777 643 763, bernard.dupont@heig-vd.ch, MALE, DEPG, Assistant
EID_101068, Simpson, Carine, (024) 777 267 781, carine.simpson@heig-vd.ch, FEMALE, HEG, Administratif
EID_101069, Durant, Cédric, (024) 777 710 743, cédric.durant@heig-vd.ch, MALE, HEG, Professeur
EID_101070, Simpson, Bernard, (024) 777 465 726, bernard.simpson@heig-vd.ch, MALE, TIC, Assistant
EID_101071, Bauer, Fabien, (024) 777 651 537, fabien.bauer@heig-vd.ch, MALE, TIN, Professeur
EID_101072, Durant, Henri, (024) 777 702 362, henri.durant@heig-vd.ch, MALE, TIC, Administratif
EID_101073, Jones, Georgette, (024) 777 688 660, georgette.jones@heig-vd.ch, FEMALE, HEG, Professeur
EID_101074, Simpson, Emma, (024) 777 616 196, emma.simpson@heig-vd.ch, FEMALE, TIN, Assistant
EID_101075, Jones, Henriette, (024) 777 224 413, henriette.jones@heig-vd.ch, FEMALE, TIC, Assistant
EID_101076, Belmondo, Dylan, (024) 777 796 536, dylan.belmondo@heig-vd.ch, MALE, HEG, Assistant
EID_101077, Marchand, Dorothé, (024) 777 406 298, dorothé.marchand@heig-vd.ch, FEMALE, COMEM, Administratif
EID_101078, Jones, Fabienne, (024) 777 122 591, fabienne.jones@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_101079, Jones, Fabien, (024) 777 595 846, fabien.jones@heig-vd.ch, MALE, DEPG, Professeur
EID_101080, De Decker, Jimmy, (024) 777 170 156, jimmy.de decker@heig-vd.ch, MALE, TIC, Administratif
EID_101081, Dupond, Dylan, (024) 777 858 173, dylan.dupond@heig-vd.ch, MALE, HEG, Administratif
EID_101082, Smith, Marc, (024) 777 287 741, marc.smith@heig-vd.ch, MALE, DEPG, Etudiant
EID_101083, De Decker, Aurore, (024) 777 173 183, aurore.de decker@heig-vd.ch, FEMALE, HEG, Assistant
